card_id,kiosk_name,churn_proba,predicted_churn,risk_level,cnt_m0,n_cats_m0,activated_m0
CARD-00001,REGION-075,0.327900395620486,0,MEDIUM,2,1,1
CARD-00002,REGION-036,0.6580176562386194,1,HIGH,0,0,0
CARD-00003,REGION-003,0.6580176562386194,1,HIGH,0,0,0
CARD-00004,REGION-061,0.8437688691692871,1,CRITICAL,2,1,1
CARD-00005,REGION-059,0.46896219892366514,1,MEDIUM,2,1,1
CARD-00006,REGION-002,0.5431389654249147,1,HIGH,0,0,0
CARD-00007,REGION-009,0.0,0,LOW,16,4,1
CARD-00008,REGION-019,0.0,0,LOW,6,3,1
CARD-00009,REGION-062,0.5431389654249147,1,HIGH,0,0,0
CARD-00010,REGION-054,0.3185024050646761,0,MEDIUM,2,1,1
CARD-00011,REGION-018,0.6580176562386194,1,HIGH,0,0,0
CARD-00012,REGION-062,0.9279598796474744,1,CRITICAL,0,0,0
CARD-00013,REGION-034,0.9279598796474744,1,CRITICAL,0,0,0
CARD-00014,REGION-046,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00015,REGION-027,0.0,0,LOW,28,2,1
CARD-00016,REGION-037,0.9279598796474744,1,CRITICAL,0,0,0
CARD-00017,REGION-018,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00018,REGION-062,0.0,0,LOW,6,3,1
CARD-00019,REGION-027,0.9279598796474744,1,CRITICAL,0,0,0
CARD-00020,REGION-026,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00021,REGION-022,0.6580176562386194,1,HIGH,0,0,0
CARD-00022,REGION-016,0.6580176562386194,1,HIGH,0,0,0
CARD-00023,REGION-018,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00024,REGION-027,0.3364805534969446,0,MEDIUM,2,1,1
CARD-00025,REGION-075,0.6580176562386194,1,HIGH,0,0,0
CARD-00026,REGION-017,0.6580176562386194,1,HIGH,0,0,0
CARD-00027,REGION-027,0.49828139689988526,1,MEDIUM,0,0,0
CARD-00028,REGION-027,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00029,REGION-023,0.5537076870825302,1,HIGH,0,0,0
CARD-00030,REGION-069,0.0,0,LOW,68,6,1
CARD-00031,REGION-024,0.0,0,LOW,17,4,1
CARD-00032,REGION-033,0.3364805534969446,0,MEDIUM,2,1,1
CARD-00033,REGION-046,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00034,REGION-013,0.3364805534969446,0,MEDIUM,2,1,1
CARD-00035,REGION-023,0.3364805534969446,0,MEDIUM,2,1,1
CARD-00036,REGION-073,0.0,0,LOW,23,5,1
CARD-00037,REGION-003,0.6580176562386194,1,HIGH,0,0,0
CARD-00038,REGION-027,0.5805097899705248,1,HIGH,3,1,1
CARD-00039,REGION-037,0.0,0,LOW,5,1,1
CARD-00040,REGION-020,0.6580176562386194,1,HIGH,0,0,0
CARD-00041,REGION-051,0.0,0,LOW,9,2,1
CARD-00042,REGION-006,0.5431389654249147,1,HIGH,0,0,0
CARD-00043,REGION-061,0.3364805534969446,0,MEDIUM,4,2,1
CARD-00044,REGION-014,0.6580176562386194,1,HIGH,0,0,0
CARD-00045,REGION-005,0.0,0,LOW,8,2,1
CARD-00046,REGION-009,0.6580176562386194,1,HIGH,0,0,0
CARD-00047,REGION-046,0.9279598796474744,1,CRITICAL,0,0,0
CARD-00048,REGION-018,0.5805097899705248,1,HIGH,2,1,1
CARD-00049,REGION-006,0.0,0,LOW,16,1,1
CARD-00050,REGION-025,0.6580176562386194,1,HIGH,0,0,0
CARD-00051,REGION-034,0.0,0,LOW,5,2,1
CARD-00052,REGION-046,0.0,0,LOW,7,2,1
CARD-00053,REGION-046,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00054,REGION-026,0.6580176562386194,1,HIGH,0,0,0
CARD-00055,REGION-049,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00056,REGION-024,0.0,0,LOW,45,3,1
CARD-00057,REGION-003,0.6580176562386194,1,HIGH,0,0,0
CARD-00058,REGION-003,0.6580176562386194,1,HIGH,0,0,0
CARD-00059,REGION-074,0.6580176562386194,1,HIGH,0,0,0
CARD-00060,REGION-069,0.0,0,LOW,11,1,1
CARD-00061,REGION-060,0.0,0,LOW,5,2,1
CARD-00062,REGION-027,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00063,REGION-032,0.4845185075321558,1,MEDIUM,4,2,1
CARD-00064,REGION-027,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00065,REGION-058,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00066,REGION-040,0.9279598796474744,1,CRITICAL,0,0,0
CARD-00067,REGION-057,0.3364805534969446,0,MEDIUM,3,1,1
CARD-00068,REGION-016,0.46896219892366514,1,MEDIUM,2,1,1
CARD-00069,REGION-051,0.0,0,LOW,32,2,1
CARD-00070,REGION-055,0.0,0,LOW,7,2,1
CARD-00071,REGION-036,0.9279598796474744,1,CRITICAL,0,0,0
CARD-00072,REGION-012,0.20811607345273264,0,LOW,2,1,1
CARD-00073,REGION-062,0.6580176562386194,1,HIGH,0,0,0
CARD-00074,REGION-016,0.49828139689988526,1,MEDIUM,0,0,0
CARD-00075,REGION-032,0.6580176562386194,1,HIGH,0,0,0
CARD-00076,REGION-005,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00077,REGION-035,0.6580176562386194,1,HIGH,0,0,0
CARD-00078,REGION-063,0.8203187978014564,1,CRITICAL,0,0,0
